Emenda;Autor
EMC 365/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 366/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 367/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 368/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 369/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 370/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 371/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 372/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 373/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 374/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 375/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 376/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 377/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 378/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 379/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 380/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 381/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 382/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 383/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 384/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 385/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 386/2017 PL678716 => PL 6787/2016;Alberto Fraga
EMC 387/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 388/2017 PL678716 => PL 6787/2016;Paulo Teixeira
EMC 389/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 390/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 391/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 392/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 393/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 394/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 395/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 396/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 397/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 398/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 399/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 400/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 401/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 402/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 403/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 404/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 405/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 406/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 407/2017 PL678716 => PL 6787/2016;Darcísio Perondi
EMC 408/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 409/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 410/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 411/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 412/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 413/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 414/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 415/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 416/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 417/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 418/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 419/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 420/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 421/2017 PL678716 => PL 6787/2016;Augusto Coutinho 
EMC 422/2017 PL678716 => PL 6787/2016;Ricardo Izar
EMC 423/2017 PL678716 => PL 6787/2016;Chico Alencar
EMC 424/2017 PL678716 => PL 6787/2016;Chico Alencar
EMC 425/2017 PL678716 => PL 6787/2016;Chico Alencar
EMC 426/2017 PL678716 => PL 6787/2016;Fernando Monteiro
EMC 427/2017 PL678716 => PL 6787/2016;Diego Garcia
EMC 428/2017 PL678716 => PL 6787/2016;Diego Garcia
EMC 429/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 430/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 431/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 432/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 433/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 434/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 435/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 436/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 437/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 438/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 439/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 440/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 441/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 442/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 443/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 444/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 445/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 446/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 447/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 448/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 449/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 450/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 451/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 452/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 453/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 454/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 455/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 456/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 457/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 458/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 459/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 460/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 461/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 462/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 463/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 464/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 465/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 466/2017 PL678716 => PL 6787/2016;Renzo Braz
EMC 467/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 468/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 469/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 470/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 471/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 472/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 473/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 474/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 475/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 476/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 477/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 478/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 479/2017 PL678716 => PL 6787/2016;Tereza Cristina
EMC 480/2017 PL678716 => PL 6787/2016;Danilo Cabral
EMC 481/2017 PL678716 => PL 6787/2016;Danilo Cabral
EMC 482/2017 PL678716 => PL 6787/2016;Tereza Cristina
EMC 483/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 484/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 485/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 486/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 487/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 488/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 489/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 490/2017 PL678716 => PL 6787/2016;Daniel Vilela
EMC 491/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 492/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 493/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 494/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 495/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 496/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 497/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 498/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 499/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 500/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 501/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 502/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 503/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 504/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 505/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 506/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 507/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 508/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 509/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 510/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 511/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 512/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 513/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 514/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 515/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 516/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 517/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 518/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 519/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 520/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 521/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 522/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 523/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 524/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 525/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 526/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 527/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 528/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 529/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 530/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 531/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 532/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 533/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 534/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 535/2017 PL678716 => PL 6787/2016;Átila Lira
EMC 536/2017 PL678716 => PL 6787/2016;Danilo Cabral
EMC 537/2017 PL678716 => PL 6787/2016;Danilo Cabral
EMC 538/2017 PL678716 => PL 6787/2016;Goulart
EMC 539/2017 PL678716 => PL 6787/2016;Goulart
EMC 540/2017 PL678716 => PL 6787/2016;Heitor Schuch
EMC 541/2017 PL678716 => PL 6787/2016;Arnaldo Jordy
EMC 542/2017 PL678716 => PL 6787/2016;Arnaldo Jordy
EMC 543/2017 PL678716 => PL 6787/2016;Arnaldo Jordy
EMC 544/2017 PL678716 => PL 6787/2016;Arnaldo Jordy
EMC 545/2017 PL678716 => PL 6787/2016;Ronaldo Carletto
EMC 546/2017 PL678716 => PL 6787/2016;Ronaldo Carletto
EMC 547/2017 PL678716 => PL 6787/2016;Assis Melo
EMC 548/2017 PL678716 => PL 6787/2016;Assis Melo
EMC 549/2017 PL678716 => PL 6787/2016;Assis Melo
EMC 550/2017 PL678716 => PL 6787/2016;Assis Melo
EMC 551/2017 PL678716 => PL 6787/2016;Assis Melo
EMC 552/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 553/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 554/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 555/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 556/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 557/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 558/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 559/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 560/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 561/2017 PL678716 => PL 6787/2016;Sergio Vidigal
EMC 562/2017 PL678716 => PL 6787/2016;Danilo Cabral
EMC 563/2017 PL678716 => PL 6787/2016;Laercio Oliveira
EMC 564/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 565/2017 PL678716 => PL 6787/2016;Renata Abreu
EMC 566/2017 PL678716 => PL 6787/2016;Renata Abreu
EMC 567/2017 PL678716 => PL 6787/2016;Renata Abreu
EMC 568/2017 PL678716 => PL 6787/2016;Renata Abreu
EMC 569/2017 PL678716 => PL 6787/2016;Renata Abreu
EMC 570/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 571/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 572/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 573/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 574/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 575/2017 PL678716 => PL 6787/2016;Daniel Almeida
EMC 576/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 577/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 578/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 579/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 580/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 581/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 582/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 583/2017 PL678716 => PL 6787/2016;Orlando Silva
EMC 584/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 585/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 586/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 587/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 588/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 589/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 590/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 591/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 592/2017 PL678716 => PL 6787/2016;Christiane de Souza Yared
EMC 593/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 594/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 595/2017 PL678716 => PL 6787/2016;Eli Corrêa Filho
EMC 596/2017 PL678716 => PL 6787/2016;Eli Corrêa Filho
EMC 597/2017 PL678716 => PL 6787/2016;Eli Corrêa Filho
EMC 598/2017 PL678716 => PL 6787/2016;Eli Corrêa Filho
EMC 599/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 600/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 601/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 602/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 603/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 604/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 605/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 606/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 607/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 608/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 609/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 610/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 611/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 612/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 613/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 614/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 615/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 616/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 617/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 618/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 619/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 620/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 621/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 622/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 623/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 624/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 625/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 626/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 627/2017 PL678716 => PL 6787/2016;Paulo Abi-Ackel
EMC 628/2017 PL678716 => PL 6787/2016;Alceu Moreira
EMC 629/2017 PL678716 => PL 6787/2016;Jerônimo Goergen
EMC 630/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 631/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 632/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 633/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 634/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 635/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 636/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 637/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 638/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 639/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 640/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 641/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 642/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 643/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 644/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 645/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 646/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 647/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 648/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 649/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 650/2017 PL678716 => PL 6787/2016;José Carlos Aleluia
EMC 651/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 652/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 653/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 654/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 655/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 656/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 657/2017 PL678716 => PL 6787/2016;Zé Silva
EMC 658/2017 PL678716 => PL 6787/2016;Alessandro Molon
EMC 659/2017 PL678716 => PL 6787/2016;Laercio Oliveira
EMC 660/2017 PL678716 => PL 6787/2016;Laercio Oliveira
EMC 661/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 662/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 663/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 664/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 665/2017 PL678716 => PL 6787/2016;Wadih Damous
EMC 666/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 667/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 668/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 669/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 670/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 671/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 672/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 673/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 674/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 675/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 676/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 677/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 678/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 679/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 680/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 681/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 682/2017 PL678716 => PL 6787/2016;Julio Lopes
EMC 683/2017 PL678716 => PL 6787/2016;Julio Lopes
EMC 684/2017 PL678716 => PL 6787/2016;Nelson Padovani
EMC 685/2017 PL678716 => PL 6787/2016;Aureo
EMC 686/2017 PL678716 => PL 6787/2016;Aureo
EMC 687/2017 PL678716 => PL 6787/2016;Aureo
EMC 688/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 689/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 690/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 691/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 692/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 693/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 694/2017 PL678716 => PL 6787/2016;Vitor Lippi
EMC 695/2017 PL678716 => PL 6787/2016;Domingos Sávio
EMC 696/2017 PL678716 => PL 6787/2016;Domingos Sávio
EMC 697/2017 PL678716 => PL 6787/2016;Domingos Sávio
EMC 698/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 699/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 700/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 701/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 702/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 703/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 704/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 705/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 706/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 707/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 708/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 709/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 710/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 711/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 712/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 713/2017 PL678716 => PL 6787/2016;Alfredo Kaefer
EMC 714/2017 PL678716 => PL 6787/2016;Nelson Marquezelli
EMC 715/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 716/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 717/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 718/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 719/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 720/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 721/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 722/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 723/2017 PL678716 => PL 6787/2016;Carlos Zarattini
EMC 724/2017 PL678716 => PL 6787/2016;Carlos Zarattini
